"Short name","Hour","HUAW_eRAN_R8_DL Traffic Volume MBytes","HUAW_eRAN_R8_UL Traffic Volume MBytes","L.Traffic.ActiveUser.DL.Max","L.Traffic.ActiveUser.DL.Avg"
1002_L_1_09F03,2016071111,324.186200,27.238824,5,0.101000
1002_L_1_09F03,2016071112,157.950299,19.191753,4,0.079000
1002_L_1_09F03,2016071113,237.985541,23.908887,5,0.082000
1002_L_1_09F03,2016071114,143.091741,19.521018,4,0.071000
1002_L_1_09F03,2016071115,255.350093,25.456279,5,0.113000
1002_L_1_09F03,2016071116,317.113787,37.370787,8,0.130000
1002_L_1_09F03,2016071117,336.177702,49.288621,6,0.140000
1002_L_1_09F03,2016071118,409.331984,51.663652,6,0.185000
1002_L_1_09F03,2016071119,305.359354,36.289827,4,0.110000
1002_L_1_09F03,2016071120,248.608472,25.687522,4,0.124000
1002_L_1_09F03,2016071121,173.363768,19.021888,4,0.063000
